filename,ring,S,d,peak sigma,peak intensity,angle,angle sigma,angle amplitude,angle fitting error
Mn23-1_30umThick_20umStep_1s_diffScan_0002.tif,1.0,143.999999988,,13.6776868456,126.308384019,0.630762523322,1.06483845526,1567.20575496,4.095532765490001
Mn23-1_30umThick_20umStep_1s_diffScan_0002.tif,2.0,225.407406472,,13.8303912954,253.970886819,1.64637522817,1.31973646373,355.096653693,9.92595324395
Mn23-1_30umThick_20umStep_1s_diffScan_0004.tif,1.0,142.999998492,,13.2622940178,91.7419331314,7.08630075187,0.862305639027,345.591917156,46.3910668812
Mn23-1_30umThick_20umStep_1s_diffScan_0004.tif,2.0,226.311072643,,14.0090560859,241.866051549,1.19361021859,2.60882305924,522.43633397,12.4438363921
Mn23-1_30umThick_20umStep_1s_diffScan_0005.tif,1.0,141.881085437,,11.9388526809,99.9746712306,7.19898996572,0.936789677178,678.355183752,38.1838850279
Mn23-1_30umThick_20umStep_1s_diffScan_0005.tif,2.0,225.000009708,,13.5305123586,264.15542515,1.26883650782,1.52461077917,553.014867056,7.82265148622
Mn23-1_30umThick_20umStep_1s_diffScan_0006.tif,1.0,143.999999992,,14.3082271437,136.526082157,-0.563731410718,1.32359114437,1856.62113987,3.1673005827200003
Mn23-1_30umThick_20umStep_1s_diffScan_0006.tif,2.0,225.486501815,,13.4479622355,233.691860193,1.8984841807,1.15531021631,266.995313004,9.679082924480001
Mn23-1_30umThick_20umStep_1s_diffScan_0007.tif,1.0,144.999999629,,14.614769949,131.046590972,2.96247521078,2.61847213193,-4673.92576949,3.0473537993099997
Mn23-1_30umThick_20umStep_1s_diffScan_0007.tif,2.0,226.0,,14.1046134164,253.94523644,-5.83243229796,2.89956238632,1572.32511258,3.1553185223400004
Mn23-1_30umThick_20umStep_1s_diffScan_0008.tif,1.0,142.999999999,,14.9999526349,142.855353485,2.72575166851,2.58906026088,-2071.52839757,14.938789081900001
Mn23-1_30umThick_20umStep_1s_diffScan_0008.tif,2.0,225.255492127,,14.1193562275,279.349513246,1.50544911299,1.27087312711,526.033554769,6.44899310612
Mn23-1_30umThick_20umStep_1s_diffScan_0009.tif,1.0,146.487583479,,12.7672894957,160.127888329,3.08870911563,0.370842253654,301.846226778,4.91583412162
Mn23-1_30umThick_20umStep_1s_diffScan_0009.tif,2.0,225.110665168,,12.868831429,296.905530809,-89.2588073474,14.7188925477,1.35788053815e+11,3.6932797399800004
Mn23-1_30umThick_20umStep_1s_diffScan_0010.tif,1.0,145.969683496,,12.0659387181,246.137215127,-0.992912186482,0.704219451492,478.871969577,5.12600128286
Mn23-1_30umThick_20umStep_1s_diffScan_0010.tif,2.0,224.62435922,,12.255509898,406.49045097,-110.214123849,14.3872914001,1.09075206183e+16,2.62399175222
Mn23-1_30umThick_20umStep_1s_diffScan_0011.tif,1.0,145.412492071,,10.1050982024,278.24726745,2.06239462283,0.743949121742,803.981966642,0.934433995943
Mn23-1_30umThick_20umStep_1s_diffScan_0011.tif,2.0,223.301100454,,11.5915429725,487.315257528,-1.01927411902,0.445278714012,168.916627362,3.38205101828
Mn23-1_30umThick_20umStep_1s_diffScan_0012.tif,1.0,145.292049699,,10.1405441135,276.11613524,1.96569722253,0.61250392457,589.696497224,0.617114799373
Mn23-1_30umThick_20umStep_1s_diffScan_0012.tif,2.0,223.149288192,,11.6200307728,491.148433773,2.04222650369,0.643324670743,321.138762889,0.7159766713339999
Mn23-1_30umThick_20umStep_1s_diffScan_0013.tif,1.0,145.000000547,,9.32905504012,290.045841919,1.80170719014,0.455884738133,547.57564444,0.396063849744
Mn23-1_30umThick_20umStep_1s_diffScan_0013.tif,2.0,223.000000039,,11.4978342695,557.80614189,-138.965298075,15.1107475492,4.39593133694e+21,2.60452951088
Mn23-1_30umThick_20umStep_1s_diffScan_0014.tif,1.0,144.978424769,,9.38039385277,301.121551346,1.70090719181,0.37722580747,482.983261977,0.210519835746
Mn23-1_30umThick_20umStep_1s_diffScan_0014.tif,2.0,223.000001703,,11.6559286882,556.390263778,-172.556244569,30.359804859,81763851191.5,4.399185420759999
Mn23-1_30umThick_20umStep_1s_diffScan_0015.tif,1.0,145.000005679,,9.80999243798,333.948656026,1.59584106906,0.367265551571,599.988342761,0.0902319444338
Mn23-1_30umThick_20umStep_1s_diffScan_0015.tif,2.0,223.724920119,,11.3847938077,569.898513524,1.67272042486,0.553504909544,305.245128309,0.443470475434
Mn23-1_30umThick_20umStep_1s_diffScan_0016.tif,1.0,146.000000041,,8.91487735174,373.262531427,1.56913705145,0.394268860307,677.898496041,0.0694990222898
