AI0,AI2,AO0
-0.0032114,0.2443892,0.0
-0.0039254,0.2275194,0.0
-0.0048338,0.2353702,0.0
-0.0021084,0.2441946,0.0
-0.0039902,0.2431566,0.0
-0.0028872,0.236668,0.0
-0.0025626,0.2305038,0.0
-0.0039252,0.225962,0.0
-0.0024328,0.2331642,0.0
-0.0041198,0.2422482,0.0
-0.00412,0.2442596,0.0
-0.0029518,0.2437406,0.0
-0.0042496,0.2339428,0.0
-0.002303,0.2282978,0.0
-0.003666,0.2301794,0.0
-0.0028874,0.2360192,0.0
-0.0019138,0.242832,0.0
-0.00399,0.2446488,0.0
-0.0033414,0.240691,0.0
-0.004574,0.2338132,0.0
-0.003536,0.228298,0.0
-0.002498,0.2316068,0.0
-0.0036658,0.2373816,0.0
-0.0023682,0.2442594,0.0
-0.0033412,0.2425074,0.0
-0.003017,0.2365382,0.0
-0.002368,0.2325152,0.0
-0.0047688,0.2279084,0.0
-0.0036658,0.2329696,0.0
-0.0036656,0.2415342,0.0
-0.0037304,0.2435456,0.0
-0.0021734,0.2442594,0.0
-0.003601,0.233878,0.0
-0.0026924,0.2282978,0.0
-0.0028872,0.2291412,0.0
-0.0038604,0.236019,0.0
-0.0031468,0.244065,0.0
-0.005223,0.2448438,0.0
-0.0027572,0.241664,0.0
-0.0026276,0.2340078,0.0
-0.0036008,0.2260916,0.0
-0.002498,0.2306986,0.0
-0.003536,0.2360842,0.0
-0.0028872,0.2428968,0.0
-0.0026276,0.2431564,0.0
-0.0047688,0.2369276,0.0
-0.003536,0.2325802,0.0
-0.0039252,0.2280382,0.0
-0.0026276,0.2330344,0.0
-0.0017842,0.2408206,0.0
-0.0034062,0.2419886,0.0
-0.0029518,0.2408854,0.0
-0.0042498,0.2340078,0.0
-0.0037956,0.229271,0.0
-0.0028224,0.2309584,0.0
-0.0041846,0.2341376,0.0
-0.0026276,0.243416,0.0
-0.003536,0.2442596,0.0
-0.0025626,0.2376412,0.0
-0.0021736,0.231607,0.0
-0.00399,0.2266108,0.0
-0.0026276,0.23271,0.0
-0.0041846,0.2388092,0.0
-0.004574,0.242962,0.0
-0.0028222,0.2463358,0.0
-0.0039252,0.236084,0.0
-0.0021084,0.230958,0.0
-0.003536,0.229401,0.0
-0.002952,0.2316068,0.0
-0.0023034,0.2400418,0.0
-0.0047688,0.2441946,0.0
-0.003601,0.2436104,0.0
-0.0043794,0.2374468,0.0
