adapter,case_id,n_trials,success_rate,elapsed_mean,elapsed_std,elapsed_median,elapsed_iqr,chi2_mean,chi2_std,chi2_ratio_mean,chi2_ratio_std,r2_mean,r2_std,p_max_diff_mean,p_max_diff_std
lmfit-baseline-leastsq,full_run_M3_00001_6ab33e,10,1.0,0.02688971385359764,0.004550557822349181,0.027595391497015953,0.004573805723339319,146386.92378860485,9.16631683703435e-06,1.000000000054575,6.261707806067642e-11,0.9977711687252622,1.3958110674065107e-13,1.3249630944756063e-05,6.2050927773194115e-06
lmfit-baseline-leastsq,full_run_M6_00002_952a4b,10,1.0,0.19070516293868423,0.026255356337760747,0.18410824052989483,0.039799407590180635,776.171427057054,1.0071028973623735e-06,0.9999999996586793,1.2975263792684278e-09,0.9960318970370301,5.148695177442647e-12,0.0002706151629695341,0.00010155245678028137
lmfit-baseline-leastsq,full_run_TEST_00005_861239,10,1.0,0.019990302622318268,0.015431434556091365,0.013105721212923527,0.013784964568912983,20092.166450960685,24620.975146617402,5.5951294955397515,6.856281257076857,0.8052962242491161,0.23859033994245418,0.8040042112563981,0.6846430504291181
lmfit-baseline-leastsq,full_run_m3_00003_dc8ba7,10,1.0,0.0394956111907959,0.014873157014729169,0.037281372118741274,0.01795631251297891,1940634445.1690247,42.896531743085326,0.9999999621381923,2.2104384534229934e-08,0.8209164869658011,3.958531006070358e-09,5.323861715282874e-05,4.325445772638977e-05
lmfit-baseline-leastsq,full_run_m6_00004_407a65,10,1.0,0.20151182590052485,0.08201780886670457,0.180638721678406,0.084843983175233,560594.9944751392,0.0061538355052642236,1.0000000000991691,1.0977328687549724e-08,0.9966616031193432,3.66466876420922e-11,5.554225012929237e-05,7.410287848428257e-05
lmfit-trf,full_run_M3_00001_6ab33e,10,1.0,0.02553894966840744,0.001173407801151841,0.02501617930829525,0.0021339308004826307,146386.92378483296,4.337923630558442e-06,1.0000000000288085,2.963333490396309e-11,0.9977711687253198,6.606271692735012e-14,1.0393504430794564e-05,4.730621809522603e-06
lmfit-trf,full_run_M6_00002_952a4b,10,1.0,0.156085067987442,0.027716525010069597,0.1615305026061833,0.03810494765639305,776.1714343270635,9.66732580250968e-06,1.0000000090251788,1.2455142579336852e-08,0.9960318969998628,4.9423313975102835e-11,0.00017512741169412038,0.000141075781056137
lmfit-trf,full_run_TEST_00005_861239,10,1.0,0.03291616560891271,0.0029880952800159987,0.032330820336937904,0.00345112313516438,3787.2954135720743,68.96838693136232,1.0546601994622804,0.019205846065495455,0.9632990937683961,0.0006683403392938713,0.15379388822986187,0.044155726412737184
lmfit-trf,full_run_m3_00003_dc8ba7,10,1.0,0.01150668179616332,0.00025315438737156555,0.011394353583455086,0.00036752247251570225,1940634389.7628555,0.30364479180980575,0.9999999335876492,1.5646676126358768e-10,0.8209164920787329,2.8020615565321122e-11,5.7626452928616345e-05,6.545302367282716e-07
lmfit-trf,full_run_m6_00004_407a65,10,1.0,0.07385158957913518,0.01901086937291533,0.06666382402181625,0.014895980944857001,560594.98788649,7.666545766350801e-05,0.9999999883462113,1.367572266930914e-10,0.9966616031585792,4.56561955538817e-13,9.20961894280481e-05,5.741971583218189e-06
